Year,Economy,Economy Label,CargoType,CargoType Label,Metric tons in millions,Metric tons in millions Footnote,Metric tons in millions Missing value
2006,5330,Eastern Asia,23,Dry cargo discharged,1759.209,,
2006,5330,Eastern Asia,20,Total goods discharged,2417.787,,
2006,5350,South-eastern Asia,11,Crude oil loaded,59.817,,
2006,5350,South-eastern Asia,12,Other tanker trade loaded,96.483,,
2006,5350,South-eastern Asia,13,Dry cargo loaded,721.505,,
2006,5350,South-eastern Asia,10,Total goods loaded,877.805,,
2006,5350,South-eastern Asia,21,Crude oil discharged,114.379,,
2006,5350,South-eastern Asia,22,Other tanker trade discharged,94.441,,
2006,5350,South-eastern Asia,23,Dry cargo discharged,327.098,,
2006,5350,South-eastern Asia,20,Total goods discharged,535.919,,
2006,5320,Southern Asia,11,Crude oil loaded,124.186,,
2006,5320,Southern Asia,12,Other tanker trade loaded,45.097,,
2006,5320,Southern Asia,13,Dry cargo loaded,189.623,,
2006,5320,Southern Asia,10,Total goods loaded,358.906,,
2006,5320,Southern Asia,21,Crude oil discharged,118.516,,
2006,5320,Southern Asia,22,Other tanker trade discharged,26.105,,
2006,5320,Southern Asia,23,Dry cargo discharged,238.876,,
2006,5320,Southern Asia,20,Total goods discharged,383.497,,
2006,5340,Western Asia,11,Crude oil loaded,733.174,,
2006,5340,Western Asia,12,Other tanker trade loaded,161.078,,
2006,5340,Western Asia,13,Dry cargo loaded,180.544,,
2006,5340,Western Asia,10,Total goods loaded,1074.795,,
2006,5340,Western Asia,21,Crude oil discharged,37.125,,
2006,5340,Western Asia,22,Other tanker trade discharged,54.736,,
2006,5340,Western Asia,23,Dry cargo discharged,352.63,,
2006,5340,Western Asia,20,Total goods discharged,444.491,,
2006,5400,Europe,11,Crude oil loaded,219.885,,
2006,5400,Europe,12,Other tanker trade loaded,275.207,,
2006,5400,Europe,13,Dry cargo loaded,1002.064,,
2006,5400,Europe,10,Total goods loaded,1497.157,,
2006,5400,Europe,21,Crude oil discharged,541.161,,
2006,5400,Europe,22,Other tanker trade discharged,284.624,,
2006,5400,Europe,23,Dry cargo discharged,1305.159,,
2006,5400,Europe,20,Total goods discharged,2130.944,,
2006,5500,Oceania,11,Crude oil loaded,11.058,,
2006,5500,Oceania,12,Other tanker trade loaded,4.435,,
2006,5500,Oceania,13,Dry cargo loaded,637.17,,
2006,5500,Oceania,10,Total goods loaded,652.663,,
2006,5500,Oceania,21,Crude oil discharged,26.766,,
2006,5500,Oceania,22,Other tanker trade discharged,18.268,,
2006,5500,Oceania,23,Dry cargo discharged,58.113,,
2006,5500,Oceania,20,Total goods discharged,103.146,,
2006,5600,Asia and Oceania,11,Crude oil loaded,936.302,,
2006,5600,Asia and Oceania,12,Other tanker trade loaded,373.422,,
2006,5600,Asia and Oceania,13,Dry cargo loaded,2597.236,,
2006,5600,Asia and Oceania,10,Total goods loaded,3906.96,,
2006,5600,Asia and Oceania,21,Crude oil discharged,792.75,,
2006,5600,Asia and Oceania,22,Other tanker trade discharged,356.164,,
2006,5600,Asia and Oceania,23,Dry cargo discharged,2735.926,,
2006,5600,Asia and Oceania,20,Total goods discharged,3884.84,,
2006,1400,Developing economies,11,Crude oil loaded,1531.521,,
2006,1400,Developing economies,12,Other tanker trade loaded,503.998,,
2006,1400,Developing economies,13,Dry cargo loaded,2553.227,,
2006,1400,Developing economies,10,Total goods loaded,4588.747,,
2006,1400,Developing economies,21,Crude oil discharged,549.825,,
2006,1400,Developing economies,22,Other tanker trade discharged,337.383,,
2006,1400,Developing economies,23,Dry cargo discharged,2213.726,,
2006,1400,Developing economies,20,Total goods discharged,3100.934,,
2006,1410,Developing economies: Africa,11,Crude oil loaded,353.756,,
2006,1410,Developing economies: Africa,12,Other tanker trade loaded,86.032,,
2006,1410,Developing economies: Africa,13,Dry cargo loaded,282.116,,
2006,1410,Developing economies: Africa,10,Total goods loaded,721.903,,
2006,1410,Developing economies: Africa,21,Crude oil discharged,41.269,,
2006,1410,Developing economies: Africa,22,Other tanker trade discharged,39.002,,
2006,1410,Developing economies: Africa,23,Dry cargo discharged,268.743,,
2006,1410,Developing economies: Africa,20,Total goods discharged,349.014,,
2006,1420,Developing economies: Americas,11,Crude oil loaded,251.317,,
2006,1420,Developing economies: Americas,12,Other tanker trade loaded,93.879,,
2006,1420,Developing economies: Americas,13,Dry cargo loaded,685.521,,
2006,1420,Developing economies: Americas,10,Total goods loaded,1030.718,,
2006,1420,Developing economies: Americas,21,Crude oil discharged,63.748,,
2006,1420,Developing economies: Americas,22,Other tanker trade discharged,61.715,,
