"Date","Price","Open","High","Low","Vol.","Change %"
"09/11/2021","835.00","835.00","835.00","835.00","","0.85%"
"08/11/2021","828.00","828.00","828.00","828.00","","1.35%"
"05/11/2021","817.00","817.00","817.00","817.00","","2.38%"
"04/11/2021","798.00","798.00","798.00","798.00","","0.50%"
"03/11/2021","794.00","794.00","794.00","794.00","","0.13%"
"02/11/2021","793.00","793.00","793.00","793.00","","-0.13%"
"01/11/2021","794.00","794.00","794.00","794.00","","-0.38%"
"29/10/2021","797.00","797.00","797.00","797.00","","-0.38%"
"28/10/2021","800.00","800.00","800.00","800.00","","0.50%"
"27/10/2021","796.00","796.00","796.00","796.00","","0.38%"
"26/10/2021","793.00","793.00","793.00","793.00","","1.15%"
"25/10/2021","784.00","784.00","784.00","784.00","","2.08%"
"22/10/2021","768.00","768.00","768.00","768.00","","1.72%"
"21/10/2021","755.00","755.00","755.00","755.00","","1.62%"
"20/10/2021","743.00","743.00","743.00","743.00","","0.81%"
"19/10/2021","737.00","737.00","737.00","737.00","","1.38%"
"18/10/2021","727.00","727.00","727.00","727.00","","0.14%"
"15/10/2021","726.00","726.00","726.00","726.00","","0.97%"
"14/10/2021","719.00","719.00","719.00","719.00","","1.27%"
"13/10/2021","710.00","710.00","710.00","710.00","","1.28%"
"12/10/2021","701.00","701.00","701.00","701.00","","1.30%"
"11/10/2021","692.00","692.00","692.00","692.00","","1.76%"
"08/10/2021","680.00","680.00","680.00","680.00","","1.80%"
"07/10/2021","668.00","668.00","668.00","668.00","","0.91%"
"06/10/2021","662.00","662.00","662.00","662.00","","2.00%"
"05/10/2021","649.00","649.00","649.00","649.00","","2.20%"
"04/10/2021","635.00","635.00","635.00","635.00","","0.79%"
"01/10/2021","630.00","630.00","630.00","630.00","","0.64%"
"30/09/2021","626.00","626.00","626.00","626.00","","0.48%"
"29/09/2021","623.00","623.00","623.00","623.00","","0.81%"
"28/09/2021","618.00","618.00","618.00","618.00","","0.32%"
"27/09/2021","616.00","616.00","616.00","616.00","","0.33%"
"24/09/2021","614.00","614.00","614.00","614.00","","0.00%"
"23/09/2021","614.00","614.00","614.00","614.00","","0.66%"
"22/09/2021","610.00","610.00","610.00","610.00","","0.49%"
"21/09/2021","607.00","607.00","607.00","607.00","","-0.16%"
"20/09/2021","608.00","608.00","608.00","608.00","","0.00%"
"17/09/2021","608.00","608.00","608.00","608.00","","-1.30%"
"16/09/2021","616.00","616.00","616.00","616.00","","-0.32%"
"15/09/2021","618.00","618.00","618.00","618.00","","0.65%"
"14/09/2021","614.00","614.00","614.00","614.00","","0.33%"
"13/09/2021","612.00","612.00","612.00","612.00","","0.16%"
"10/09/2021","611.00","611.00","611.00","611.00","","0.33%"
"09/09/2021","609.00","609.00","609.00","609.00","","0.83%"
"08/09/2021","604.00","604.00","604.00","604.00","","-0.98%"
"07/09/2021","610.00","610.00","610.00","610.00","","-0.81%"
"06/09/2021","615.00","615.00","615.00","615.00","","-0.16%"
"03/09/2021","616.00","616.00","616.00","616.00","","-0.16%"
"02/09/2021","617.00","617.00","617.00","617.00","","0.65%"
"01/09/2021","613.00","613.00","613.00","613.00","","0.49%"
"31/08/2021","610.00","610.00","610.00","610.00","","0.99%"
"27/08/2021","604.00","604.00","604.00","604.00","","0.00%"
"26/08/2021","604.00","604.00","604.00","604.00","","0.17%"
"25/08/2021","603.00","603.00","603.00","603.00","","-0.33%"
"24/08/2021","605.00","605.00","605.00","605.00","","-0.33%"
"23/08/2021","607.00","607.00","607.00","607.00","","-0.49%"
"20/08/2021","610.00","610.00","610.00","610.00","","0.33%"
"19/08/2021","608.00","608.00","608.00","608.00","","0.16%"
"18/08/2021","607.00","607.00","607.00","607.00","","-0.16%"
"17/08/2021","608.00","608.00","608.00","608.00","","-0.33%"
"16/08/2021","610.00","610.00","610.00","610.00","","-0.49%"
"13/08/2021","613.00","613.00","613.00","613.00","","0.66%"
"12/08/2021","609.00","609.00","609.00","609.00","","0.16%"
"11/08/2021","608.00","608.00","608.00","608.00","","0.00%"
"10/08/2021","608.00","608.00","608.00","608.00","","0.00%"
"09/08/2021","608.00","608.00","608.00","608.00","","-0.16%"
"06/08/2021","609.00","609.00","609.00","609.00","","0.33%"
"05/08/2021","607.00","607.00","607.00","607.00","","0.00%"
"04/08/2021","607.00","607.00","607.00","607.00","","0.50%"
"03/08/2021","604.00","604.00","604.00","604.00","","-0.17%"
"02/08/2021","605.00","605.00","605.00","605.00","","0.17%"
"30/07/2021","604.00","604.00","604.00","604.00","","0.00%"
"29/07/2021","604.00","604.00","604.00","604.00","","1.00%"
"28/07/2021","598.00","598.00","598.00","598.00","","0.67%"
"27/07/2021","594.00","594.00","594.00","594.00","","0.34%"
"26/07/2021","592.00","592.00","592.00","592.00","","-0.17%"
"23/07/2021","593.00","593.00","593.00","593.00","","0.00%"
